OPTS_Category,Type,Subtype,OPS_Portal_Category,OPS_Portal_Type,OPS_Portal_Subtype,Sharing_Level_Default,Notes
Government Property,Secure Forms,US Travel Booklets,Incident,Infrastructure,Government Equipment,Internal to Operations Center,
Government Property,Sensitive / Controlled Property,Badge (Shield),Incident,Infrastructure,Government Equipment,Internal to Operations Center,
Government Property,Sensitive / Controlled Property,Credential,Incident,Infrastructure,Government Equipment,Internal to Operations Center,
Government Property,Sensitive / Controlled Property,Government Purchase Card,Incident,Infrastructure,Government Equipment,Internal to Operations Center,
Government Property,Sensitive / Controlled Property,Government Travel Card,Incident,Infrastructure,Government Equipment,Internal to Operations Center,
Government Property,Sensitive / Controlled Property,HSPD-12 / PIV Card,Incident,Infrastructure,Government Equipment,Internal to Operations Center,
Government Property,Sensitive / Controlled Property,Impression / Dry Seal,Incident,Infrastructure,Government Equipment,Internal to Operations Center,
Government Property,Sensitive / Controlled Property,Secure Ink / Pads,Incident,Infrastructure,Government Equipment,Internal to Operations Center,
Government Property,Sensitive / Controlled Property,Secure Stamps,Incident,Infrastructure,Government Equipment,Internal to Operations Center,
Government Property,Sensitive / Controlled Property,Security Container Key,Incident,Infrastructure,Government Equipment,Internal to Operations Center,
Government Property,Sensitive / Controlled Property,Sticker,Incident,Infrastructure,Government Equipment,Internal to Operations Center,
Government Property,Sensitive / Controlled Property,Building Access Card,Incident,Infrastructure,Government Equipment,Internal to Operations Center,
Government Property,Vehicle,Government Fleet Card,Incident,Infrastructure,Government Equipment,Internal to Operations Center,
Government Property,Vehicle,Government Vehicle,Incident,Infrastructure,Government Equipment,Internal to Operations Center,
Government Property,Vehicle,Government Vehicle Key,Incident,Infrastructure,Government Equipment,Internal to Operations Center,
Information Spill / Mishandling,FOUO,Loss of Control,Incident,Infrastructure,Information Technology,Internal to Operations Center,
Information Spill / Mishandling,FOUO,Compromise,Incident,Infrastructure,Information Technology,Internal to Operations Center,
Information Spill / Mishandling,FOUO,Unauthorized Disclosure,Incident,Infrastructure,Information Technology,Internal to Operations Center,
Information Spill / Mishandling,FOUO,Unauthorized Acquisition,Incident,Infrastructure,Information Technology,Internal to Operations Center,
Information Spill / Mishandling,FOUO,Unauthorized Access,Incident,Infrastructure,Information Technology,Internal to Operations Center,
Information Spill / Mishandling,SPII/PII,Loss of Control,Incident,Infrastructure,Information Technology,Internal to Operations Center,
Information Spill / Mishandling,SPII/PII,Compromise,Incident,Infrastructure,Information Technology,Internal to Operations Center,
Information Spill / Mishandling,SPII/PII,Unauthorized Disclosure,Incident,Infrastructure,Information Technology,Internal to Operations Center,
Information Spill / Mishandling,SPII/PII,Unauthorized Acquisition,Incident,Infrastructure,Information Technology,Internal to Operations Center,
Information Spill / Mishandling,SPII/PII,Unauthorized Access,Incident,Infrastructure,Information Technology,Internal to Operations Center,
Information Spill / Mishandling,A-File,Loss of Control,Incident,Infrastructure,Information Technology,Internal to Operations Center,
Information Spill / Mishandling,A-File,Compromise,Incident,Infrastructure,Information Technology,Internal to Operations Center,
Information Spill / Mishandling,A-File,Unauthorized Disclosure,Incident,Infrastructure,Information Technology,Internal to Operations Center,
Information Spill / Mishandling,A-File,Unauthorized Acquisition,Incident,Infrastructure,Information Technology,Internal to Operations Center,
Information Spill / Mishandling,A-File,Unauthorized Access,Incident,Infrastructure,Information Technology,Internal to Operations Center,
Information Spill / Mishandling,T-File,Loss of Control,Incident,Infrastructure,Information Technology,Internal to Operations Center,
Information Spill / Mishandling,T-File,Compromise,Incident,Infrastructure,Information Technology,Internal to Operations Center,
Information Spill / Mishandling,T-File,Unauthorized Disclosure,Incident,Infrastructure,Information Technology,Internal to Operations Center,
Information Spill / Mishandling,T-File,Unauthorized Acquisition,Incident,Infrastructure,Information Technology,Internal to Operations Center,
Information Spill / Mishandling,T-File,Unauthorized Access,Incident,Infrastructure,Information Technology,Internal to Operations Center,
Information Spill / Mishandling,Law Enforcement Sensitive,Loss of Control,Incident,Infrastructure,Information Technology,Internal to Operations Center,
Information Spill / Mishandling,Law Enforcement Sensitive,Compromise,Incident,Infrastructure,Information Technology,Internal to Operations Center,
Information Spill / Mishandling,Law Enforcement Sensitive,Unauthorized Disclosure,Incident,Infrastructure,Information Technology,Internal to Operations Center,
Information Spill / Mishandling,Law Enforcement Sensitive,Unauthorized Acquisition,Incident,Infrastructure,Information Technology,Internal to Operations Center,
Information Spill / Mishandling,Law Enforcement Sensitive,Unauthorized Access,Incident,Infrastructure,Information Technology,Internal to Operations Center,
